"Reference","Qty","Value","Footprint","Digikey"
"A1","1","ESP32-S3-DevKit-44","fluidnc-bob-revD:ESP32_S3_DevKit_44_Socket","1965-ESP32-S3-DEVKITC-1-N8-ND"
"C3","1","10uF/25V","Capacitor_SMD:C_1206_3216Metric",""
"C4,C5,C20,C21,C22,C23,C24","7","100nF","Capacitor_SMD:C_0805_2012Metric",""
"D1","1","SMBJ5.0A","Diode_SMD:D_SMB","SMBJ5.0ALFCT-ND"
"D2","1","S1M","Diode_SMD:D_SMA","S1M-FDICT-ND"
"F1","1","2A","Fuse:Fuse_1206_3216Metric","F1457CT-ND"
"H1,H2,H3,H4","4","M3","MountingHole:MountingHole_3.2mm_M3_Pad",""
"J1","1","5V-IN","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","277-1263-ND"
"J2","1","X-DRV","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","277-13762-ND"
"J3","1","Y-DRV","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","277-13762-ND"
"J4","1","Z-DRV","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal","277-13762-ND"
"J5","1","LIM-X","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","WM4200-ND"
"J6","1","LIM-Y","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","WM4200-ND"
"J7","1","LIM-Z","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","WM4200-ND"
"J8","1","PROBE","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","WM4200-ND"
"J9","1","E-STOP","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","WM4200-ND"
"J10","1","SPINDLE-SW","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","277-1264-ND"
"J11","1","AUX","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","WM4200-ND"
"J13","1","SD","Connector_PinHeader_2.54mm:PinHeader_2x06_P2.54mm_Vertical","S2011EC-06-ND"
"LED1","1","PWR","LED_THT:LED_D5.0mm","754-1263-ND"
"LED2","1","MOTORS-OFF","LED_THT:LED_D5.0mm","754-1264-ND"
"Q1,Q2","2","MMBT2222A","Package_TO_SOT_SMD:SOT-23","MMBT2222A-FDICT-ND"
"R10,R11,R12,R13,R14,R15,R16,R17,R41,R43","10","100k","Resistor_SMD:R_0805_2012Metric",""
"R20,R21,R22,R23,R24","5","10k","Resistor_SMD:R_0805_2012Metric",""
"R30,R31,R32,R33,R34,R40,R42,R50,R51","9","1k","Resistor_SMD:R_0805_2012Metric",""
"R60,R61,R62,R63,R64,R65,R66","7","100R","Resistor_SMD:R_0805_2012Metric",""
"RLY1","1","G5LE-14 DC5","Relay_THT:Relay_SPDT_Omron-G5LE-1","Z1011-ND"
"U1","1","SN74AHCT541N","Package_DIP:DIP-20_W7.62mm_Socket","296-4755-5-ND"
